,Program_Description,Function_Description,Fund_Description,Location_Description,total_budget,total_fte,num_records
744,OTHER SUPPORT SERVICES,Other,,TEACHER LEARNING & LEADERSHIP,19456.59,0.0,2
745,OTHER SUPPORT SERVICES,Other,,,166173.36,0.0,116
746,OTHER SUPPORT SERVICES,TITLE I,,FEDERAL PROGRAMS/EXTERNAL RESO,1346656.45,0.0,2
747,OTHER SUPPORT SERVICES,TITLE I A - ARRA,,FEDERAL PROGRAMS/EXTERNAL RESO,446016.37,0.0,1
748,Other,Community Services,"""Title  Part A Improving Basic Programs""",School ,255591.9679841599,2.5700000000000003,145
749,Other,Community Services,General Fund,Bilingual / ESL,10325.36,0.0,4
750,Other,Community Services,General Fund,Early Childhood Center,41424.819202499995,1.0,3
751,Other,Community Services,General Fund,Elementary (Pre-K),255.245917555,0.0,2
752,Other,Community Services,General Fund,Independence,24999.36,0.0,2
753,Other,Community Services,General Fund,Prekindergarten Demonstration School,36912.1470456,1.0,4
754,Other,Community Services,General Fund,School ,1255395.2605330092,32.3555,126
755,Other,Community Services,General Fund,Secondary Alternative Learning Center,41425.1092025,1.0,1
756,Other,Community Services,General Fund,,19258.6667911,0.5,2
757,Other,Community Services,Miscellaneous Federal Grants,,-0.21000000000003638,0.0,2
758,Other,Community Services,Title I - Disadvantaged Children/Targeted Assistance,,-0.5800000000017462,0.0,2
759,Other,Community Services,Title I Priority Schools Grant Program,School ,374867.9646056,4.5,7
760,Other,Community Services,Title I- Part A,Primary Center,2000.76,0.0,1
761,Other,Community Services,Title I- Part A,School ,893257.15414687,15.9945,254
762,Other,Community Services,Title I- Part A,School 6-12,160.55,0.0,1
763,Other,Community Services,Title I- Part A,School K-5,1332.8,0.0,1
764,Other,Community Services,Title I- Part A,,22463.3516828,0.5,2
765,Other,Community Services,"Title III, Part A-LEP, English Language Acquisition & Language Enhancement",Bilingual / ESL,48498.84,0.0,3
766,Other,Community Services,Title Iii Part A - Lep,School ,42003.119187542,0.0,80
767,Other,Community Services,Vocational Basic Ed.,School ,116968.4843188,4.91,13
768,Other,Curriculum & Instructional Staff Development,General Fund,Bilingual / ESL,649704.133530703,5.640000000000001,28
769,Other,Curriculum & Instructional Staff Development,General Fund,Early Childhood Center,-0.30000000000000004,0.0,3
770,Other,Curriculum & Instructional Staff Development,General Fund,Gifted and Talented,505169.27315799997,0.0,6
771,Other,Curriculum & Instructional Staff Development,General Fund,Independence,5776.48535327,0.0,5
772,Other,Curriculum & Instructional Staff Development,General Fund,Pre-K Center,57994.888331500006,1.0,5
773,Other,Curriculum & Instructional Staff Development,General Fund,Prekindergarten Demonstration School,5535.19596963,0.0,5
774,Other,Curriculum & Instructional Staff Development,General Fund,School ,907506.48081815,8.5,44
775,Other,Curriculum & Instructional Staff Development,General Fund,School to Work,30222.35,0.0,6
776,Other,Curriculum & Instructional Staff Development,Title I Priority Schools Grant Program,School ,973745.8672917,6.5,15
777,Other,Curriculum & Instructional Staff Development,Title I- Part A,Primary Center,8141.591,0.0,4
778,Other,Curriculum & Instructional Staff Development,Title I- Part A,School ,2348746.6266822,23.63,199
779,Other,Curriculum & Instructional Staff Development,Title I- Part A,,14071.739493900002,0.25,1
780,Other,Curriculum & Instructional Staff Development,"Title III, Part A-LEP, English Language Acquisition & Language Enhancement",Bilingual / ESL,430150.15156569995,1.0,10
781,Other,Curriculum & Instructional Staff Development,Voc Ed- Basic Grant,School to Work,106209.261,0.0,6
782,Other,Curriculum Development And Instructional Staff Dev, Virtual School Network Receiver,School ,1225.5844404547,0.0,4
783,Other,Curriculum Development And Instructional Staff Dev,"""Title  Part A Improving Basic Programs""",School ,566664.859278407,0.0,450
784,Other,Curriculum Development And Instructional Staff Dev,"""Title  Part A Improving Basic Programs""",Summer School,29284.461312592,0.0,68
785,Other,Curriculum Development And Instructional Staff Dev,General Operating Fund,School ,97921.0557749102,0.0,71
786,Other,Curriculum Development And Instructional Staff Dev,General Operating Fund,Unallocated,177002.6902748565,0.0,127
787,Other,Curriculum Development And Instructional Staff Dev,General Operating Fund,Undistributed,22346.955456248,0.0,41
788,Other,Curriculum Development And Instructional Staff Dev,Title Iii Part A - Lep,School ,26851.378351722,0.0,64
789,Other,Curriculum Development And Instructional Staff Dev,Title Iii Part A - Lep,Summer School,886.498893314,0.0,4
790,Other,Curriculum Development And Instructional Staff Dev,Title Iii Part A - Lep,Undistributed,680061.85664016,0.0,25
791,Other,Curriculum Development And Instructional Staff Dev,Vocational Basic Ed.,School ,68772.92,0.0,17
792,Other,Curriculum Development And Instructional Staff Dev,Vocational Basic Ed.,Undistributed,15843.890000000001,0.0,3
793,Other,FACILITIES ACQ AND CONST      ,CO & DS                       ,FACILITIES                    ,322147.82,0.0,1
794,Other,FACILITIES ACQ AND CONST      ,ENERGY MANAGEMENT,MAINTENANCE NORTH             ,28490.76,0.0,1
795,Other,FACILITIES ACQ AND CONST      ,ENERGY MANAGEMENT,School ,884602.39,0.0,2
796,Other,FACILITIES ACQ AND CONST      ,GENERAL FUND                  ,FACILITIES                    ,517206.34983528,6.75,12
797,Other,FACILITIES ACQ AND CONST      ,GENERAL FUND                  ,School ,20023.499999999996,0.0,7
798,Other,FACILITIES ACQ AND CONST      ,IMPACT FEES,School ,30343.14,0.0,1
799,Other,FACILITIES ACQ AND CONST      ,IMPACT FEES                   ,FACILITIES                    ,6857282.510000001,0.0,17
800,Other,FACILITIES ACQ AND CONST      ,IMPACT FEES                   ,GROWTH                        ,1974.15,0.0,1
801,Other,FACILITIES ACQ AND CONST      ,IMPACT FEES                   ,MAINTENANCE NORTH             ,8302.02,0.0,2
802,Other,FACILITIES ACQ AND CONST      ,IMPACT FEES                   ,PROCUREMENT SERVICES          ,481074.4,0.0,8
803,Other,FACILITIES ACQ AND CONST      ,IMPACT FEES                   ,School ,31989.8,0.0,1
804,Other,FACILITIES ACQ AND CONST      ,MAINTENANCE - CHARTERS   ,CHARTER,76026.64,0.0,1
805,Other,FACILITIES ACQ AND CONST      ,MAINTENANCE - CHARTERS   ,School ,465082.07,0.0,3
806,Other,FACILITIES ACQ AND CONST      ,MILLAGE                  ,BOARD                         ,769.35,0.0,1
807,Other,FACILITIES ACQ AND CONST      ,MILLAGE                  ,BUILDING,56.51000000000001,0.0,1
808,Other,FACILITIES ACQ AND CONST      ,MILLAGE                  ,CENTER,6345.1500000000015,0.0,1
809,Other,FACILITIES ACQ AND CONST      ,MILLAGE                  ,CHARTER,152029.01,0.0,49
810,Other,FACILITIES ACQ AND CONST      ,MILLAGE                  ,CURRICULUM AND INSTR          ,56213.880000000005,0.0,2
811,Other,FACILITIES ACQ AND CONST      ,MILLAGE                  ,EDUCATION FOUNDATION,5916.75,0.0,7
812,Other,FACILITIES ACQ AND CONST      ,MILLAGE                  ,ETS,5279.199999999999,0.0,4
813,Other,FACILITIES ACQ AND CONST      ,MILLAGE                  ,EXEC DIR INFO/INSTRUC TECH SER,4429226.69,0.0,44
814,Other,FACILITIES ACQ AND CONST      ,MILLAGE                  ,FACILITIES                    ,14115.769999999999,0.0,8
815,Other,FACILITIES ACQ AND CONST      ,MILLAGE                  ,FED COMPENSATORY ED PROG      ,369.5800000000001,0.0,2
816,Other,FACILITIES ACQ AND CONST      ,MILLAGE                  ,FOOD SERVICES                 ,1406.04,0.0,3
817,Other,FACILITIES ACQ AND CONST      ,MILLAGE                  ,GRANT SERVICES                ,1799.05,0.0,1
818,Other,FACILITIES ACQ AND CONST      ,MILLAGE                  ,GROWTH                        ,6404.35,0.0,1
819,Other,FACILITIES ACQ AND CONST      ,MILLAGE                  ,HUMAN RESOURCES               ,3275.6499999999996,0.0,3
820,Other,FACILITIES ACQ AND CONST      ,MILLAGE                  ,MAINTENANCE NORTH             ,1424268.63,0.0,46
821,Other,FACILITIES ACQ AND CONST      ,MILLAGE                  ,MAINTENANCE SOUTH             ,395.65,0.0,1
822,Other,FACILITIES ACQ AND CONST      ,MILLAGE                  ,OLD,295.1,0.0,2
823,Other,FACILITIES ACQ AND CONST      ,MILLAGE                  ,PROCUREMENT SERVICES          ,26167.07,0.0,14
824,Other,FACILITIES ACQ AND CONST      ,MILLAGE                  ,PROGRAM ACCOUNTABILITY        ,4781.78,0.0,6
825,Other,FACILITIES ACQ AND CONST      ,MILLAGE                  ,PUBLIC SAFETY COMPLEX CHARTER ,31453.66,0.0,10
826,Other,FACILITIES ACQ AND CONST      ,MILLAGE                  ,RISK MANAGEMENT               ,12931.260000000002,0.0,6
827,Other,FACILITIES ACQ AND CONST      ,MILLAGE                  ,STAFF DEV AND INSTR MEDIA     ,56001.520000000004,0.0,14
828,Other,FACILITIES ACQ AND CONST      ,MILLAGE                  ,STUDENT SERVICES              ,35316.61,0.0,13
829,Other,FACILITIES ACQ AND CONST      ,MILLAGE                  ,SUPERINTENDENT                ,806825.46,0.0,50
830,Other,FACILITIES ACQ AND CONST      ,MILLAGE                  ,School ,4671381.81,0.0,946
831,Other,FACILITIES ACQ AND CONST      ,MILLAGE                  ,TECHNICAL CHARTER,65828.63,0.0,17
832,Other,FACILITIES ACQ AND CONST      ,MILLAGE                  ,TRANSPORTATION                ,958411.29,0.0,28
833,Other,FACILITIES ACQ AND CONST      ,MILLAGE                  ,VOCATIONAL EDUCATION          ,1003.6600000000001,0.0,2
834,Other,FACILITIES ACQ AND CONST      ,MILLAGE                  ,WAREHOUSE AND SUPPORT         ,89960.89,0.0,3
835,Other,FACILITIES ACQ AND CONST      ,MILLAGE                  ,WELLNESS CENTER,324.4699999999999,0.0,2
836,Other,FACILITIES ACQ AND CONST      ,OTHER CAPITAL OUTLAY          ,FACILITIES                    ,97443.52,0.0,7
837,Other,FACILITIES ACQ AND CONST      ,OTHER CAPITAL OUTLAY          ,MAINTENANCE NORTH             ,360883.25,0.0,4
838,Other,FACILITIES ACQ AND CONST      ,OTHER CAPITAL OUTLAY          ,School ,170363.28999999998,0.0,1
839,Other,FACILITIES ACQ AND CONST      ,SALES TAX                     ,EXEC DIR INFO/INSTRUC TECH SER,114361.94,0.0,1
840,Other,FACILITIES ACQ AND CONST      ,SALES TAX                     ,FACILITIES                    ,3225384.66,0.0,8
841,Other,FACILITIES ACQ AND CONST      ,SALES TAX                     ,MAINTENANCE NORTH             ,56511.9,0.0,8
842,Other,FACILITIES ACQ AND CONST      ,SALES TAX                     ,PROCUREMENT SERVICES          ,39059.29,0.0,1
843,Other,FACILITIES ACQ AND CONST      ,SELF-FUNDED HEALTH INSURANCE  ,WELLNESS CENTER,491289.02,0.0,13
844,Other,"Guidance, Counseling and Evaluation Services",General Fund,Bilingual / ESL,145617.1012583,1.0441,4
845,Other,"Guidance, Counseling and Evaluation Services",General Fund,Early Childhood,-0.02,0.0,1
846,Other,"Guidance, Counseling and Evaluation Services",General Fund,Early Childhood Center,55100.8019289,1.0,2
847,Other,"Guidance, Counseling and Evaluation Services",General Fund,Elementary DAEP,58752.016406826,1.0,4
848,Other,"Guidance, Counseling and Evaluation Services",General Fund,Gifted and Talented,16459.78,0.0,1
849,Other,"Guidance, Counseling and Evaluation Services",General Fund,Independence,220367.04007606997,4.0,8
850,Other,"Guidance, Counseling and Evaluation Services",General Fund,Pre-K Center,29221.3676749,0.5,1
851,Other,"Guidance, Counseling and Evaluation Services",General Fund,Prekindergarten Demonstration School,600.06,0.0,3
852,Other,"Guidance, Counseling and Evaluation Services",General Fund,School ,940355.7420965999,15.08,19
853,Other,"Guidance, Counseling and Evaluation Services",General Fund,School to Work,11652.45,0.0,4
854,Other,"Guidance, Counseling and Evaluation Services",General Fund,Secondary Alternative Learning Center,130791.131300901,2.0,4
855,Other,"Guidance, Counseling and Evaluation Services",Title I Priority Schools Grant Program,School ,143397.61200000002,1.95,5
856,Other,"Guidance, Counseling and Evaluation Services",Title I- Part A,Primary Center,1350.31,0.0,2
857,Other,"Guidance, Counseling and Evaluation Services",Title I- Part A,School ,57240.699532800005,0.5,50
858,Other,"Guidance, Counseling and Evaluation Services",Title I- Part A,,199.84,0.0,1
859,Other,"Guidance, Counseling and Evaluation Services",Voc Ed- Basic Grant,Guidance & Counseling,81536.7183557,1.0,2
860,Other,"Guidance, Counseling and Evaluation Services",Voc Ed- Basic Grant,Office of Program Evaluation,83297.5599256,1.0,3
861,Other,"Guidance, Counseling and Evaluation Services",Voc Ed- Basic Grant,School to Work,23000.480000000003,0.0,2
862,Other,INST STAFF TRAINING SVCS      ,ARRA - RACE TO THE TOP        ,CHIEF ACADEMIC OFFICER        ,104630.4,0.0,285
863,Other,INST STAFF TRAINING SVCS      ,ARRA - RACE TO THE TOP        ,School ,348.9,0.0,3
864,Other,INST STAFF TRAINING SVCS      ,CONVERSION CHARTER SCHOOLS    ,CHARTER,70978.92108670001,1.0,66
865,Other,INST STAFF TRAINING SVCS      ,CONVERSION CHARTER SCHOOLS    ,School ,5031.070000000001,0.0,29
866,Other,INST STAFF TRAINING SVCS      ,CONVERSION CHARTER SCHOOLS    ,TECHNICAL CHARTER,5181.0,0.0,12
867,Other,INST STAFF TRAINING SVCS      ,FED THRU STATE-CASH ADVANCE   ,CHARTER,162353.4456747,1.9166660612939999,108
868,Other,INST STAFF TRAINING SVCS      ,FED THRU STATE-CASH ADVANCE   ,CURRICULUM AND INSTR          ,170104.34,0.0,20
869,Other,INST STAFF TRAINING SVCS      ,FED THRU STATE-CASH ADVANCE   ,ESE                           ,36810.29,0.0,124
870,Other,INST STAFF TRAINING SVCS      ,FED THRU STATE-CASH ADVANCE   ,FED COMPENSATORY ED PROG      ,929642.77181858,14.8195778504867,174
871,Other,INST STAFF TRAINING SVCS      ,FED THRU STATE-CASH ADVANCE   ,STAFF DEV AND INSTR MEDIA     ,97903.889615361,1.46370483739818,6
872,Other,INST STAFF TRAINING SVCS      ,FED THRU STATE-CASH ADVANCE   ,School ,1401672.3317477792,19.59807920502601,672
873,Other,INST STAFF TRAINING SVCS      ,FED THRU STATE-CASH ADVANCE   ,TECHNICAL CHARTER,10762.58,0.0,8
874,Other,INST STAFF TRAINING SVCS      ,FED THRU STATE-CASH ADVANCE   ,VOCATIONAL EDUCATION          ,4722.33,0.0,23
875,Other,INST STAFF TRAINING SVCS      ,FED THRU STATE-NON CASH ADVANC,CURRICULUM AND INSTR          ,864.49,0.0,1
876,Other,INST STAFF TRAINING SVCS      ,FED THRU STATE-NON CASH ADVANC,STAFF DEV AND INSTR MEDIA     ,6141.37,0.0,11
877,Other,INST STAFF TRAINING SVCS      ,FED THRU STATE-NON CASH ADVANC,School ,9286.109999999999,0.0,68
878,Other,INST STAFF TRAINING SVCS      ,FEDERAL DIRECT                ,CHARTER,822.37,0.0,5
879,Other,INST STAFF TRAINING SVCS      ,FEDERAL DIRECT                ,CURRICULUM AND INSTR          ,46827.93,0.0,26
880,Other,INST STAFF TRAINING SVCS      ,FEDERAL DIRECT                ,School ,50543.11,0.0,111
881,Other,INST STAFF TRAINING SVCS      ,FOOD SERVICES                 ,School ,26.64,0.0,1
882,Other,INST STAFF TRAINING SVCS      ,GENERAL FUND                  ,CHARTER,4121.04,0.0,40
883,Other,INST STAFF TRAINING SVCS      ,GENERAL FUND                  ,CURRICULUM AND INSTR          ,79608.31,0.0,75
884,Other,INST STAFF TRAINING SVCS      ,GENERAL FUND                  ,ESE                           ,6190.22,0.0,3
885,Other,INST STAFF TRAINING SVCS      ,GENERAL FUND                  ,EXEC DIR INFO/INSTRUC TECH SER,515789.06869359995,8.0,45
886,Other,INST STAFF TRAINING SVCS      ,GENERAL FUND                  ,FED COMPENSATORY ED PROG      ,5829.0700000000015,0.0,2
887,Other,INST STAFF TRAINING SVCS      ,GENERAL FUND                  ,HUMAN RESOURCES               ,483.92,0.0,7
888,Other,INST STAFF TRAINING SVCS      ,GENERAL FUND                  ,PROGRAM ACCOUNTABILITY        ,6936.85,0.0,20
889,Other,INST STAFF TRAINING SVCS      ,GENERAL FUND                  ,STAFF DEV AND INSTR MEDIA     ,425673.46143019997,2.0,818
890,Other,INST STAFF TRAINING SVCS      ,GENERAL FUND                  ,STUDENT SERVICES              ,4706.639999999999,0.0,5
891,Other,INST STAFF TRAINING SVCS      ,GENERAL FUND                  ,School ,2192898.91175513,30.736032301279298,2446
892,Other,INST STAFF TRAINING SVCS      ,GENERAL FUND                  ,VOCATIONAL EDUCATION          ,420.29,0.0,2
893,Other,INST STAFF TRAINING SVCS      ,TARGETED ARRA STIMULUS FUNDS  ,FED COMPENSATORY ED PROG      ,10547.293327039999,0.167521187197,9
894,Other,INST STAFF TRAINING SVCS      ,TARGETED ARRA STIMULUS FUNDS  ,School ,57754.8377597,0.8324788128030001,14
895,Other,INSTRUCTION,ARRA Grants (Not Including Stabilization Grants),,160364.02,2.8899,4
896,Other,INSTRUCTION,CTAE Extended Day or Extended Year - State Grant,,136585.9544,1.00004,1
897,Other,INSTRUCTION,Charter Schools - Federal,,264660.7,0.0,9
898,Other,INSTRUCTION,Department of Human Resources,,2581.01,0.0,2
899,Other,INSTRUCTION,General Fund,ADMIN. SERVICES,2368185.959999998,0.0,473
900,Other,INSTRUCTION,General Fund,NORTH METRO,10255.32,0.0,21
901,Other,INSTRUCTION,General Fund,SOUTH METRO,661037.26,0.0,35
902,Other,INSTRUCTION,General Fund,,19253622.96,0.0,10652
903,Other,INSTRUCTION,HHS Aids Education,ADMIN. SERVICES,499.57,0.0,1
904,Other,INSTRUCTION,Learn And Serve America,,47983.96,0.0,96
905,Other,INSTRUCTION,Lottery Funds,,270952.28,6.0,6
906,Other,INSTRUCTION,Pre-Kindergarten (Lottery),,205041.91,0.0,258
907,Other,INSTRUCTION,RESERVED FOR K-12 GRANTS FROM SOURCES OTHER THAN STATE OR FEDERAL,ADMIN. SERVICES,42.35,0.0,2
908,Other,INSTRUCTION,RESERVED FOR K-12 GRANTS FROM SOURCES OTHER THAN STATE OR FEDERAL,,11376.02,0.0,30
909,Other,INSTRUCTION,RESERVED FOR NON DOE DIRECT FEDERAL FUNDS FOR K-12,ADMIN. SERVICES,84276.72,0.0,20
910,Other,INSTRUCTION,Schoolwide Schools,,-4350338.350000001,0.0,716
911,Other,INSTRUCTION,Special Education,ADMIN. SERVICES,1710040.2999999998,0.0,242
912,Other,INSTRUCTION,Special Education,,1252947.71,0.0,83
913,Other,INSTRUCTION,State or Local Funds,NORTH METRO,17278.264,0.2,1
914,Other,INSTRUCTION,State or Local Funds,,5017799.62694,75.795993,143
915,Other,INSTRUCTION,TITLE III,ADMIN. SERVICES,318173.39,0.0,23
916,Other,INSTRUCTION,TITLE III,,5449.51,0.0,19
917,Other,INSTRUCTION,Title I,ADMIN. SERVICES,1585500.07,0.0,112
918,Other,INSTRUCTION,Title I,,8379078.380000001,0.0,474
919,Other,INSTRUCTION,Title I Elementary and Secondary Education Act of ,,181086.95784,2.690246,5
920,Other,INSTRUCTION,Title II,ADMIN. SERVICES,6422.32,0.0,1
921,Other,INSTRUCTION,Title II,,18996.61,0.0,46
922,Other,INSTRUCTION,Vocational Education-Federal Funded,ADMIN. SERVICES,42949.08999999999,0.0,111
923,Other,INSTRUCTION,,NORTH METRO,7956.39,0.2,1
924,Other,INSTRUCTION,,,425082.10778,18.401054,21
925,Other,Instruction, Virtual School Network Receiver,School ,14594.877798038,0.0,18
926,Other,Instruction,"""Title  Part A Improving Basic Programs""",School ,13553563.720993787,153.16,4528
927,Other,Instruction,"""Title  Part A Improving Basic Programs""",Summer School,1232235.6677382104,0.0,1027
928,Other,Instruction,Advanced Plancement International Baccalaurate Inc,School ,16717.4414229467,0.0,34
929,Other,Instruction,Campus Activity Funds,School ,576519.845121754,0.0,491
930,Other,Instruction,Campus Activity Funds,Summer School,3126.504448696,0.0,3
931,Other,Instruction,Education Jobs,School ,109125.33236756289,0.0,11
932,Other,Instruction,Education Jobs Fund,Elementary (Pre-K),22239.2405526,0.33,1
933,Other,Instruction,Education Jobs Fund,School ,84472.6265047,1.32,4
934,Other,Instruction,Esea Title Ii Part A Teacher & Principal Training,School ,198.949303959,0.0,1
935,Other,Instruction,General Fund,ABD,1807.99253655,0.0,1
936,Other,Instruction,General Fund,Bilingual / ESL,265746.4880436,0.0,6
937,Other,Instruction,General Fund,Center,12686.21,0.0,12
938,Other,Instruction,General Fund,Early Childhood,155874.786697384,2.0,7
939,Other,Instruction,General Fund,Early Childhood Center,1167254.53678911,19.5,33
940,Other,Instruction,General Fund,Elementary,0.0,0.0,1
941,Other,Instruction,General Fund,Elementary (Pre-K),251934.47030930198,4.67,20
942,Other,Instruction,General Fund,Elementary DAEP,186139.21265434,3.0,10
943,Other,Instruction,General Fund,Gifted and Talented,72848.554411,0.0,1
944,Other,Instruction,General Fund,Human Resources,1898765.7,0.0,1
945,Other,Instruction,General Fund,Independence,1741329.064186193,27.5,67
946,Other,Instruction,General Fund,Pre-K Center,1070153.366846373,16.0,32
947,Other,Instruction,General Fund,Prekindergarten Demonstration School,1642708.97830434,27.0,42
948,Other,Instruction,General Fund,Primary Center,771840.56548885,12.99,25
949,Other,Instruction,General Fund,School ,286095883.2499941,4641.241,8579
950,Other,Instruction,General Fund,School to Work,1506811.240932114,0.0,17
951,Other,Instruction,General Fund,Secondary Alternative Learning Center,1530022.141904373,27.0,55
952,Other,Instruction,General Fund,Unallocated Cost Budget,3054927.69255,0.0,2
953,Other,Instruction,General Fund,Work Projects,313197.52,0.0,1
954,Other,Instruction,General Fund,,1119732.713149163,19.009999999999998,35
955,Other,Instruction,General Operating Fund,School ,220793585.26824236,3556.6700000000005,14440
956,Other,Instruction,General Operating Fund,Summer School,451381.2519461883,0.0,425
957,Other,Instruction,General Operating Fund,Unallocated,20754.0737127233,0.01,11
958,Other,Instruction,General Operating Fund,Undistributed,11045364.959004201,0.05,481
959,Other,Instruction,General Operating Fund,,25480.8874723355,0.03,15
960,Other,Instruction,Intensive Reading Instruction Initiative Grant,School ,223284.2244591651,0.0,887
961,Other,Instruction,Intensive Reading Instruction Initiative Grant,,278.55,0.0,1
962,Other,Instruction,Locally Funded Special Revenue Funds,School ,114830.320274925,0.0,47
963,Other,Instruction,Locally Funded Special Revenue Funds,Unallocated,123749.53,0.0,2
964,Other,Instruction,Locally Funded Special Revenue Funds,Undistributed,81.09,0.0,1
965,Other,Instruction,Lower Strands Prj.,School ,19708.43,0.0,11
966,Other,Instruction,Other State Grants,School ,3670.46,0.0,9
967,Other,Instruction,State Textbook Fund,School ,4163254.25,0.0,127
968,Other,Instruction,State Textbook Fund,Undistributed,1097485.5599999998,0.0,3
969,Other,Instruction,Student Activity Account,School ,929373.48877246,17.455,28
970,Other,Instruction,Student Activity Fund,School ,561.8,0.0,5
971,Other,Instruction,Title I Priority Schools Grant Program,School ,1027296.4995010999,9.0,15
972,Other,Instruction,Title I- Part A,Primary Center,37489.054000000004,0.0,9
973,Other,Instruction,Title I- Part A,School ,11578918.35821063,114.062,676
974,Other,Instruction,Title I- Part A,School 6-12,11438.46,0.0,1
975,Other,Instruction,Title I- Part A,School K-5,95043.01,0.0,1
976,Other,Instruction,Title I- Part A,,127382.6525317,0.75,9
977,Other,Instruction,"Title III, Part A-LEP, English Language Acquisition & Language Enhancement",Bilingual / ESL,206374.85,0.0,3
978,Other,Instruction,"Title III, Part A-LEP, English Language Acquisition & Language Enhancement",School ,1501869.0748421,26.0,29
979,Other,Instruction,Title Iii Part A - Lep,School ,711708.1873279796,8.03,338
980,Other,Instruction,Title Iii Part A - Lep,Summer School,156974.857105977,0.0,116
981,Other,Instruction,Title Iii Part A - Lep,Undistributed,36002.36,0.0,5
982,Other,Instruction,Title Iv Part B  Century Community Learning Ce,School ,264484.6811290212,3.0,135
983,Other,Instruction,Title Iv Part B  Century Community Learning Ce,Summer School,45409.526416542,0.0,63
984,Other,Instruction,Voc Ed- Basic Grant,School to Work,721707.5599999999,0.0,9
985,Other,Instruction,Vocational Basic Ed.,School ,633976.0700000001,0.0,15
986,Other,Instruction,,Early Childhood Center,78873.5989792,2.5,3
987,Other,Instruction,,Pre-K Center,216496.56700990003,7.0,7
988,Other,Instruction,,Prekindergarten Demonstration School,243459.3185556,8.0,8
989,Other,Instruction,,School ,80080.4119592,2.5,3
990,Other,Instructional Leadership,General Fund,Bilingual / ESL,694608.771508413,6.3,25
991,Other,Instructional Leadership,General Fund,Early Childhood,69641.4304007,1.0,2
992,Other,Instructional Leadership,General Fund,Gifted and Talented,398307.41122396704,5.25,25
993,Other,Instructional Leadership,General Fund,School to Work,760270.8300000001,0.0,7
994,Other,Instructional Leadership,General Operating Fund,School ,2752.2400000000002,0.0,9
995,Other,Instructional Leadership,General Operating Fund,Unallocated,31479.120000000003,0.0,19
